iter	Passed	Remaining
0	1	134
1	2	120
2	3	111
3	4	99
4	5	96
5	5	92
6	6	91
7	7	91
8	8	90
9	9	88
10	10	88
11	11	86
12	12	85
13	13	84
14	14	82
15	15	82
16	16	80
17	17	79
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	60
36	34	59
37	35	57
38	36	56
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	46
49	46	46
50	47	45
51	47	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	56	35
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	26
71	66	25
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
