iter	Passed	Remaining
0	156	156312
1	158	78941
2	159	53142
3	161	40319
4	163	32553
5	164	27297
6	166	23585
7	168	20895
8	171	18887
9	173	17137
10	174	15675
11	175	14461
12	176	13416
13	177	12517
14	178	11731
15	180	11087
16	181	10497
17	182	9953
18	183	9459
19	184	9056
20	186	8712
21	187	8357
22	188	8027
23	189	7721
24	190	7440
25	192	7193
26	192	6954
27	193	6733
28	195	6544
29	196	6356
30	197	6173
31	199	6024
32	200	5869
33	201	5732
34	202	5593
35	204	5476
36	205	5347
37	206	5225
38	207	5109
39	208	4996
40	209	4888
41	209	4786
42	210	4692
43	211	4603
44	212	4514
45	213	4429
46	214	4352
47	215	4281
48	217	4213
49	218	4145
50	219	4076
51	220	4013
52	221	3949
53	221	3887
54	223	3838
55	224	3781
56	225	3725
57	226	3670
58	226	3619
59	227	3570
60	228	3525
61	230	3484
62	231	3445
63	232	3401
64	233	3358
65	234	3325
66	235	3286
67	236	3247
68	237	3208
69	238	3170
70	239	3134
71	240	3098
72	241	3065
73	242	3032
74	243	2999
75	244	2968
76	245	2940
77	246	2916
78	247	2889
79	248	2861
80	249	2832
81	250	2804
82	250	2772
83	251	2747
84	253	2729
85	254	2705
86	255	2682
87	256	2658
88	257	2635
89	258	2611
90	260	2603
91	262	2586
92	263	2566
93	264	2546
94	265	2527
95	266	2506
96	267	2487
97	268	2469
98	269	2449
99	270	2431
100	271	2415
101	272	2397
102	273	2381
103	274	2365
104	276	2354
105	277	2339
106	278	2325
107	279	2309
108	280	2293
109	281	2278
110	282	2262
111	283	2247
112	284	2232
113	285	2217
114	286	2203
115	287	2189
116	288	2174
117	288	2159
118	290	2147
119	291	2137
120	293	2128
121	293	2114
122	294	2101
123	296	2093
124	297	2081
125	298	2068
126	299	2055
127	299	2042
128	300	2030
129	301	2019
130	302	2007
131	303	1996
132	304	1985
133	305	1975
134	307	1968
135	308	1958
136	309	1947
137	310	1938
138	311	1928
139	312	1917
140	313	1907
141	313	1895
142	314	1885
143	315	1876
144	316	1867
145	317	1857
146	318	1847
147	319	1838
148	320	1830
149	322	1827
150	323	1820
151	324	1812
152	325	1803
153	326	1795
154	327	1786
155	328	1778
156	329	1770
157	330	1762
158	331	1754
159	332	1748
160	333	1738
161	334	1729
162	335	1722
163	336	1715
164	337	1709
165	338	1702
166	339	1695
167	340	1688
168	341	1681
169	342	1674
170	343	1666
171	345	1661
172	346	1655
173	347	1648
174	348	1640
175	348	1633
176	349	1626
177	350	1619
178	352	1614
179	353	1609
180	354	1602
181	355	1596
182	356	1589
183	357	1583
184	357	1577
185	358	1570
186	359	1564
187	360	1557
188	361	1551
189	362	1544
190	363	1541
191	364	1534
192	365	1528
193	367	1528
194	368	1522
195	370	1518
196	371	1513
197	372	1507
198	373	1501
199	373	1495
200	374	1489
201	376	1485
202	377	1480
203	377	1474
204	378	1469
205	379	1463
206	380	1458
207	382	1455
208	383	1451
209	384	1446
210	385	1440
211	386	1435
212	387	1430
213	388	1425
214	389	1420
215	390	1415
216	390	1410
217	391	1405
218	392	1399
219	393	1394
220	394	1390
221	395	1385
222	396	1382
223	397	1378
224	398	1373
225	399	1368
226	400	1364
227	401	1359
228	402	1354
229	403	1350
230	404	1346
231	405	1342
232	406	1339
233	407	1335
234	408	1330
235	409	1326
236	410	1321
237	411	1317
238	413	1315
239	414	1312
240	415	1307
241	416	1303
242	417	1299
243	418	1295
244	419	1292
245	420	1288
246	421	1284
247	422	1280
248	423	1276
249	423	1271
250	425	1269
251	426	1264
252	426	1260
253	428	1257
254	429	1253
255	429	1249
256	431	1246
257	431	1242
258	432	1238
259	433	1234
260	434	1230
261	435	1227
262	436	1223
263	437	1219
264	438	1215
265	439	1212
266	440	1208
267	440	1204
268	441	1200
269	442	1197
270	443	1194
271	444	1190
272	445	1187
273	446	1183
274	447	1179
275	448	1176
276	449	1172
277	450	1169
278	451	1165
279	452	1162
280	452	1158
281	453	1155
282	454	1151
283	455	1147
284	456	1144
285	457	1141
286	458	1138
287	459	1135
288	459	1131
289	460	1128
290	462	1126
291	463	1123
292	464	1120
293	465	1117
294	466	1113
295	466	1110
296	468	1108
297	469	1105
298	470	1102
299	471	1099
300	472	1096
301	473	1093
302	475	1092
303	483	1106
304	484	1104
305	486	1102
306	487	1100
307	489	1100
308	491	1100
309	494	1099
310	495	1098
311	497	1097
312	498	1095
313	500	1093
314	502	1092
315	505	1094
316	507	1093
317	508	1091
318	510	1089
319	511	1087
320	513	1086
321	514	1084
322	516	1082
323	519	1084
324	521	1083
325	523	1082
326	524	1079
327	526	1077
328	527	1075
329	528	1073
330	530	1071
331	531	1069
332	532	1067
333	535	1066
334	536	1064
335	537	1062
336	538	1059
337	539	1056
338	541	1055
339	542	1053
340	544	1051
341	545	1049
342	547	1049
343	550	1049
344	551	1047
345	553	1046
346	555	1044
347	556	1042
348	557	1040
349	558	1037
350	560	1035
351	561	1033
352	563	1032
353	564	1030
354	565	1027
355	566	1025
356	568	1023
357	569	1021
358	570	1018
359	571	1016
360	573	1014
361	574	1012
362	575	1009
363	576	1007
364	577	1005
365	578	1002
366	579	999
367	580	997
368	581	994
369	582	992
370	583	989
371	584	987
372	585	984
373	586	981
374	587	979
375	588	976
376	589	974
377	590	971
378	591	969
379	593	967
380	594	965
381	595	963
382	596	960
383	597	958
384	598	956
385	599	953
386	600	951
387	601	948
388	602	946
389	603	943
390	604	941
391	605	939
392	606	936
393	607	934
394	608	932
395	610	931
396	612	929
397	613	927
398	614	925
399	615	923
400	617	922
401	618	920
402	619	918
403	621	916
404	621	913
405	623	911
406	624	910
407	626	908
408	627	906
409	628	904
410	629	902
411	630	900
412	631	898
413	632	895
414	633	893
415	634	891
416	635	888
417	636	886
418	637	884
419	638	882
420	640	880
421	641	878
422	642	876
423	643	874
424	644	871
425	645	869
426	646	867
427	647	865
428	648	862
429	649	860
430	650	858
431	651	856
432	652	854
433	654	853
434	655	851
435	656	849
436	657	847
437	658	845
438	659	843
439	660	841
440	661	838
441	662	836
442	664	834
443	665	833
444	666	831
445	667	829
446	669	828
447	671	827
448	672	824
449	673	822
450	674	821
451	675	819
452	676	817
453	677	814
454	678	812
455	679	810
456	680	808
457	681	806
458	682	804
459	684	803
460	685	801
461	687	800
462	688	798
463	689	796
464	690	794
465	691	791
466	692	789
467	693	788
468	694	786
469	695	784
470	696	782
471	697	780
472	698	778
473	700	776
474	701	774
475	702	772
476	702	770
477	703	768
478	704	766
479	706	764
480	707	763
481	708	761
482	709	759
483	710	757
484	710	754
485	712	753
486	713	751
487	714	749
488	715	747
489	716	745
490	717	743
491	718	741
492	719	739
493	720	737
494	721	735
495	722	733
496	722	731
497	724	730
498	725	728
499	726	726
500	727	724
501	728	722
502	729	720
503	731	719
504	732	717
505	733	715
506	734	713
507	734	711
508	735	709
509	736	708
510	737	705
511	738	704
512	739	702
513	740	700
514	741	698
515	742	696
516	744	695
517	745	693
518	746	692
519	747	690
520	749	688
521	750	686
522	750	684
523	751	682
524	752	681
525	753	679
526	754	677
527	755	675
528	756	673
529	757	672
530	758	670
531	759	668
532	761	667
533	762	665
534	763	663
535	764	661
536	765	659
537	766	658
538	767	656
539	768	654
540	769	652
541	770	650
542	771	648
543	772	647
544	773	645
545	773	643
546	775	641
547	776	640
548	777	638
549	777	636
550	778	634
551	780	633
552	781	631
553	782	629
554	783	628
555	784	626
556	785	624
557	785	622
558	786	620
559	787	618
560	788	616
561	789	615
562	790	613
563	791	611
564	792	610
565	793	608
566	794	606
567	795	605
568	796	603
569	797	601
